dimensione orizzonte,dimensione esplorati,tempo azione medio (sec),tempo esecuzione totale (sec),algorithm,heuristic
25,29,0.0003773755040662042,0.011613130569458008,A*,Misplaced tiles
2575,4347,0.0005034663799523704,2.2043771743774414,A*,Misplaced tiles
352,552,0.0004258803699327552,0.23662471771240234,A*,Misplaced tiles
3833,6738,0.0006591495614124002,4.4652419090271,A*,Misplaced tiles
444,672,0.00015075646695636568,0.1032266616821289,A*,Misplaced tiles
12431,27047,0.002809947504990025,76.1544828414917,A*,Misplaced tiles
12,11,0.00013540007851340553,0.0016374588012695312,A*,Manhattan distance
303,491,0.0001512680908327433,0.07593965530395508,A*,Manhattan distance
121,196,0.00012836042715578662,0.025824308395385742,A*,Manhattan distance
371,610,0.00016726392214415502,0.10416531562805176,A*,Manhattan distance
125,195,0.00011448982434395033,0.022929906845092773,A*,Manhattan distance
1463,2557,0.0003836667766130945,0.9898285865783691,A*,Manhattan distance
14,11,0.0001259933818470348,0.001544952392578125,Best First,Misplaced tiles
174,262,0.00015694767464208238,0.04240822792053223,Best First,Misplaced tiles
220,329,0.0001233848757294536,0.04157519340515137,Best First,Misplaced tiles
613,986,0.00017502365924765566,0.1755671501159668,Best First,Misplaced tiles
88,130,0.00010191660660963792,0.013695955276489258,Best First,Misplaced tiles
412,629,0.00039898193128916343,0.2527318000793457,Best First,Misplaced tiles
11,9,0.00011987156338161892,0.0012166500091552734,Best First,Manhattan distance
233,309,0.00014672233063040428,0.04638862609863281,Best First,Manhattan distance
105,159,0.00011250807804131657,0.018428564071655273,Best First,Manhattan distance
112,166,0.00011322728122573301,0.01933145523071289,Best First,Manhattan distance
23,28,0.00011967761175973075,0.0035448074340820312,Best First,Manhattan distance
126,197,0.00011508355891038924,0.023288488388061523,Best First,Manhattan distance
